entry_price,exit_price,side,qty,pnl,reason,ts
1916.3,1919.1,-1,1999,-5597.199999999909,sl,2025-10-31 09:31:00
1912.2,1908.7,-1,1999,6996.5,tp,2025-10-31 10:00:00
1903.0,1905.3,-1,1999,-4597.699999999909,sl,2025-10-31 10:59:00
1907.5,1911.9,1,1999,8795.600000000182,tp,2025-10-31 13:19:00
1906.5,1908.9,-1,1999,-4797.600000000182,sl,2025-10-31 13:57:00
1887.9,1883.9,-1,1999,7996.0,tp,2025-11-03 10:00:00
1879.7,1883.5,1,1999,7596.199999999909,tp,2025-11-03 10:50:00
1903.1,1908.4,1,1999,10594.700000000365,tp,2025-11-03 11:23:00
1891.1,1895.0,-1,1999,-7796.100000000182,sl,2025-11-03 13:55:00
1883.4,1899.0,-1,1999,-31184.39999999982,sl,2025-11-03 14:04:00
1871.9,1867.7,1,1999,-8395.80000000009,sl,2025-11-04 10:00:00
1873.0,1870.8,1,1999,-4397.800000000091,sl,2025-11-04 10:32:00
1860.0,1862.4,-1,1999,-4797.600000000182,sl,2025-11-04 11:18:00
1862.8,1871.0,1,1999,16391.80000000009,tp,2025-11-04 13:42:00
1900.6,1895.5,1,1999,-10194.899999999818,sl,2025-11-04 14:34:00
1879.1,1882.5,-1,1999,-6796.600000000182,sl,2025-11-05 09:35:00
1892.5,1897.1,1,1999,9195.399999999818,tp,2025-11-05 10:42:00
1879.4,1876.7,-1,1999,5397.300000000091,tp,2025-11-06 09:30:00
1874.0,1870.5,-1,1999,6996.5,tp,2025-11-06 11:16:00
1876.5,1874.5,1,1999,-3998.0,sl,2025-11-06 13:06:00
1854.5,1856.3,-1,1999,-3598.199999999909,sl,2025-11-07 09:46:00
1857.6,1854.7,1,1999,-5797.0999999997275,sl,2025-11-07 11:20:00
1859.5,1857.7,1,1999,-3598.199999999909,sl,2025-11-07 13:23:00
1844.0,1847.2,-1,1999,-6396.800000000091,sl,2025-11-07 14:04:00
1825.3,1826.6,-1,1999,-2598.699999999909,sl,2025-11-10 10:12:00
1824.6,1826.0,-1,1999,-2798.600000000182,sl,2025-11-10 10:27:00
1823.6,1824.5,-1,1999,-1799.1000000001818,sl,2025-11-10 10:41:00
1834.0,1837.5,1,1999,6996.5,tp,2025-11-10 13:22:00
1837.7,1830.5,-1,1999,14392.80000000009,tp,2025-11-10 14:16:00
1814.0,1818.4,1,1999,8795.600000000182,tp,2025-11-11 09:41:00
1811.0,1812.9,-1,1999,-3798.100000000182,sl,2025-11-11 10:57:00
1810.7,1819.2,-1,1999,-16991.5,sl,2025-11-11 11:19:00
1816.8,1801.4,-1,1999,30784.599999999726,tp,2025-11-11 14:33:00
1827.3,1825.3,1,1999,-3998.0,sl,2025-11-12 09:54:00
1822.4,1825.2,-1,1999,-5597.199999999909,sl,2025-11-12 10:19:00
1826.5,1828.7,1,1999,4397.800000000091,tp,2025-11-12 10:47:00
1833.0,1836.2,1,1999,6396.800000000091,tp,2025-11-12 11:17:00
1849.2,1855.4,1,1999,12393.80000000009,tp,2025-11-12 13:51:00
1871.5,1866.3,1,1999,-10394.80000000009,sl,2025-11-12 14:25:00
1864.7,1866.5,-1,1999,-3598.199999999909,sl,2025-11-13 09:37:00
1865.0,1863.0,-1,1999,3998.0,tp,2025-11-13 10:15:00
1861.3,1863.9,-1,1999,-5197.4000000002725,sl,2025-11-13 10:38:00
1868.1,1871.7,1,1999,7196.4000000002725,tp,2025-11-13 11:00:00
1868.9,1865.1,-1,1999,7596.200000000364,tp,2025-11-13 13:13:00
1867.6,1863.6,1,1999,-7996.0,sl,2025-11-13 14:42:00
1859.6,1863.0,1,1999,6796.600000000182,tp,2025-11-14 09:41:00
1857.3,1859.0,-1,1999,-3398.300000000091,sl,2025-11-14 10:58:00
1872.7,1870.9,1,1999,-3598.199999999909,sl,2025-11-14 13:24:00
1875.0,1878.8,1,1999,7596.199999999909,tp,2025-11-14 14:00:00
1888.3,1891.3,1,1999,5997.0,tp,2025-11-17 11:00:00
1890.1,1887.2,-1,1999,5797.0999999997275,tp,2025-11-17 13:25:00
1885.4,1887.0,-1,1999,-3198.399999999818,sl,2025-11-17 13:51:00
1894.7,1891.4,1,1999,-6596.699999999909,sl,2025-11-17 14:09:00
1893.0,1892.1,1,1999,-1799.1000000001818,sl,2025-11-18 10:37:00
1890.5,1886.9,-1,1999,7196.399999999818,tp,2025-11-18 13:15:00
1890.1,1895.3,1,1999,10394.80000000009,tp,2025-11-18 14:20:00
1891.0,1893.5,-1,1999,-4997.5,sl,2025-11-18 14:40:00
1891.9,1890.3,-1,1999,3198.4000000002725,tp,2025-11-19 10:20:00
1895.0,1894.0,1,1999,-1999.0,sl,2025-11-19 11:12:00
1894.9,1893.3,1,1999,-3198.4000000002725,sl,2025-11-19 13:24:00
1891.8,1886.8,-1,1999,9995.0,tp,2025-11-19 14:15:00
1900.8,1899.0,-1,2000,3599.999999999909,tp,2025-11-20 11:17:00
1901.5,1900.7,1,2000,-1599.999999999909,sl,2025-11-20 13:30:00
1890.8,1892.6,-1,2000,-3599.999999999909,sl,2025-11-20 13:55:00
1868.5,1864.5,-1,2000,8000.0,tp,2025-11-21 09:55:00
1865.7,1867.5,-1,2000,-3599.999999999909,sl,2025-11-21 11:25:00
1873.1,1875.7,-1,2000,-5200.000000000273,sl,2025-11-21 14:06:00
1910.6,1908.5,1,1999,-4197.899999999818,sl,2025-11-24 10:00:00
1905.4,1906.5,-1,1999,-2198.899999999818,sl,2025-11-24 10:29:00
1920.6,1918.2,1,1999,-4797.5999999997275,sl,2025-11-24 13:44:00
1913.1,1915.5,-1,1999,-4797.600000000182,sl,2025-11-25 09:11:00
1918.3,1920.7,1,1999,4797.600000000182,tp,2025-11-25 10:12:00
1921.9,1921.0,1,1999,-1799.1000000001818,sl,2025-11-25 10:56:00
1916.9,1913.7,-1,1999,6396.800000000091,tp,2025-11-25 13:10:00
1911.0,1913.2,-1,1999,-4397.800000000091,sl,2025-11-25 14:07:00
1905.2,1908.1,-1,1999,-5797.0999999997275,sl,2025-11-25 14:28:00
1915.2,1919.4,1,1999,8395.80000000009,tp,2025-11-26 09:30:00
1923.4,1924.3,-1,1999,-1799.0999999997273,sl,2025-11-26 10:49:00
1925.5,1928.4,1,1999,5797.100000000182,tp,2025-11-26 13:34:00
1927.4,1924.0,-1,1999,6796.600000000182,tp,2025-11-27 10:09:00
1923.5,1921.1,-1,2000,4800.000000000182,tp,2025-11-27 11:03:00
1919.5,1921.1,-1,2000,-3199.999999999818,sl,2025-11-27 11:21:00
1929.0,1926.8,1,2000,-4400.000000000091,sl,2025-11-27 13:57:00
1917.2,1921.0,-1,1999,-7596.199999999909,sl,2025-11-27 14:30:00
1923.8,1923.0,1,1999,-1599.199999999909,sl,2025-11-28 09:53:00
1922.7,1921.9,1,1999,-1599.199999999909,sl,2025-11-28 10:46:00
1922.9,1924.4,1,1999,2998.5,tp,2025-11-28 11:26:00
1931.0,1928.0,1,1999,-5997.0,sl,2025-11-28 13:27:00
1925.0,1922.1,-1,1999,5797.100000000182,tp,2025-11-28 13:58:00
1935.0,1934.0,1,1999,-1999.0,sl,2025-12-01 11:02:00
1934.2,1933.3,1,1999,-1799.1000000001818,sl,2025-12-01 13:26:00
1935.4,1938.4,1,1999,5997.0,tp,2025-12-01 14:20:00
1929.4,1932.0,-1,1999,-5197.399999999818,sl,2025-12-01 14:41:00
1925.5,1924.0,-1,1999,2998.5,tp,2025-12-02 10:16:00
1921.7,1922.8,-1,1999,-2198.899999999818,sl,2025-12-02 13:08:00
1933.0,1931.0,1,1999,-3998.0,sl,2025-12-02 14:01:00
1940.6,1944.9,1,1999,8595.700000000365,tp,2025-12-02 14:24:00
1953.9,1952.2,1,1999,-3398.300000000091,sl,2025-12-03 10:30:00
1954.0,1955.6,1,1999,3198.399999999818,tp,2025-12-03 13:06:00
1976.0,1973.9,1,1999,-4197.899999999818,sl,2025-12-03 13:59:00
1972.0,1974.8,-1,1999,-5597.199999999909,sl,2025-12-04 09:00:00
1972.4,1970.8,-1,1999,3198.4000000002725,tp,2025-12-04 09:55:00
1969.8,1971.1,-1,1999,-2598.699999999909,sl,2025-12-04 11:07:00
1983.1,1978.0,1,1999,-10194.899999999818,sl,2025-12-04 14:07:00
1974.0,1977.2,-1,1999,-6396.800000000091,sl,2025-12-05 13:04:00
1974.5,1976.5,-1,1999,-3998.0,sl,2025-12-05 14:12:00
1986.5,1989.1,1,1999,5197.399999999818,tp,2025-12-08 11:15:00
1979.7,1981.5,-1,1999,-3598.199999999909,sl,2025-12-08 13:55:00
1981.7,1978.2,-1,1999,6996.5,tp,2025-12-09 09:24:00
1971.7,1968.0,-1,1999,7396.300000000091,tp,2025-12-09 10:05:00
1963.9,1961.3,-1,1999,5197.4000000002725,tp,2025-12-09 13:13:00
1958.0,1959.4,-1,1999,-2798.600000000182,sl,2025-12-10 13:13:00
1946.1,1938.1,-1,1999,15992.0,tp,2025-12-10 14:18:00
1932.8,1941.4,-1,1999,-17191.400000000274,sl,2025-12-11 09:00:00
1934.8,1930.3,-1,1999,8995.5,tp,2025-12-11 09:57:00
1931.0,1929.0,1,1999,-3998.0,sl,2025-12-11 10:48:00
1934.7,1932.0,-1,1999,5397.300000000091,tp,2025-12-11 13:17:00
1934.6,1931.3,1,1999,-6596.699999999909,sl,2025-12-11 14:06:00
1912.2,1908.2,-1,1999,7996.0,tp,2025-12-12 09:52:00
1906.8,1908.9,-1,1999,-4197.9000000002725,sl,2025-12-12 10:25:00
1907.2,1908.9,-1,1999,-3398.300000000091,sl,2025-12-12 10:49:00
1913.9,1912.0,1,1999,-3798.100000000182,sl,2025-12-12 11:14:00
1902.2,1898.3,-1,1999,7796.100000000182,tp,2025-12-12 13:50:00
1866.0,1868.2,-1,1999,-4397.800000000091,sl,2025-12-15 09:33:00
1875.3,1879.0,1,1999,7396.300000000091,tp,2025-12-15 10:15:00
1874.4,1871.7,-1,1999,5397.300000000091,tp,2025-12-15 11:13:00
1875.6,1870.9,1,1999,-9395.299999999635,sl,2025-12-15 13:20:00
1868.0,1871.0,-1,1999,-5997.0,sl,2025-12-15 13:46:00
1867.0,1869.2,-1,1999,-4397.800000000091,sl,2025-12-16 09:38:00
1864.7,1868.2,1,1999,6996.5,tp,2025-12-16 10:58:00
1908.7,1910.3,-1,1999,-3198.399999999818,sl,2025-12-17 09:38:00
1909.0,1905.2,-1,1999,7596.199999999909,tp,2025-12-17 13:16:00
1907.6,1903.4,1,1999,-8395.799999999635,sl,2025-12-17 13:56:00
1907.4,1904.9,1,1999,-4997.5,sl,2025-12-17 14:38:00
1889.0,1887.5,1,1999,-2998.5,sl,2025-12-18 09:58:00
1895.4,1894.2,1,1999,-2398.800000000091,sl,2025-12-18 13:25:00
1893.8,1891.6,1,1999,-4397.800000000091,sl,2025-12-18 13:48:00
1900.4,1907.0,1,1999,13193.399999999818,tp,2025-12-18 14:35:00
1927.5,1933.8,1,1999,12593.69999999991,tp,2025-12-19 10:30:00
1927.8,1929.8,-1,1999,-3998.0,sl,2025-12-19 11:26:00
1930.6,1928.8,1,1999,-3598.199999999909,sl,2025-12-19 13:16:00
1926.8,1923.5,-1,1999,6596.699999999909,tp,2025-12-19 13:34:00
1931.0,1935.6,1,1999,9195.399999999818,tp,2025-12-19 14:11:00
1929.0,1933.1,-1,1999,-8195.899999999818,sl,2025-12-19 14:43:00
1948.7,1951.3,1,1999,5197.399999999818,tp,2025-12-22 09:42:00
1947.5,1949.4,-1,1999,-3798.100000000182,sl,2025-12-22 10:24:00
1953.8,1956.8,1,1999,5997.0,tp,2025-12-22 10:57:00
2008.7,2006.5,1,1999,-4397.800000000091,sl,2025-12-23 09:31:00
2005.7,2002.8,-1,1999,5797.100000000182,tp,2025-12-23 10:20:00
2006.8,2009.5,1,2000,5400.000000000091,tp,2025-12-23 11:18:00
2014.9,2012.4,1,2000,-5000.0,sl,2025-12-23 13:18:00
2016.5,2019.3,-1,2000,-5599.999999999909,sl,2025-12-23 14:03:00
2020.0,2017.0,1,1999,-5997.0,sl,2025-12-23 14:30:00
2020.4,2018.1,1,1999,-4597.700000000364,sl,2025-12-24 09:22:00
2022.6,2019.4,1,1999,-6396.799999999636,sl,2025-12-24 10:32:00
2017.4,2014.6,-1,1999,5597.200000000364,tp,2025-12-24 11:06:00
2015.4,2020.4,1,1999,9995.0,tp,2025-12-24 14:09:00
2022.0,2020.3,1,1999,-3398.300000000091,sl,2025-12-25 09:00:00
2044.9,2041.0,1,1999,-7796.100000000182,sl,2025-12-25 10:15:00
2035.5,2037.1,-1,1999,-3198.399999999818,sl,2025-12-25 11:28:00
2032.6,2029.0,-1,1999,7196.399999999818,tp,2025-12-25 13:10:00
2022.9,2015.0,-1,1999,15792.100000000182,tp,2025-12-25 14:35:00
1936.3,1931.3,-1,2000,10000.0,tp,2025-12-26 10:16:00
